DATAFLOW,LAST UPDATE,freq,indic,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-01,-25.2,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-02,-23.8,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-03,-25.2,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-04,-22.5,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-05,-23.4,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-06,-33.3,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-07,-30.3,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-08,-26.4,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-09,-21.2,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-10,-25.5,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-11,-28.1,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2008-12,-30.5,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-01,-32.8,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-02,-33.0,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-03,-30.8,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-04,-27.0,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-05,-26.0,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-06,-23.2,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-07,-17.6,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-08,-15.3,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-09,-10.3,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-10,-14.0,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-11,-16.4,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2009-12,-19.4,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-01,-17.7,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-02,-20.4,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-03,-22.6,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-04,-22.5,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-05,-27.0,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-06,-27.0,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-07,-27.3,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-08,-25.5,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-09,-22.0,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-10,-37.7,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-11,-40.1,,
ESTAT:EI_BSCO_M(1.0),27/02/25 11:00:00,Monthly,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Portugal,2010-12,-36.3,,
